TYPE NAME FROM_BUS TO_BUS R X WC/2 SNOM BR;

LINE "L102-103" B102 B103 0.22500 2.5650 8.8890 350.0 1
LINE "L102-101" B102 B101 3.8250 14.218 51.111 350.0 1
LINE "L106-103" B106 B103 1.2370 5.6250 17.778 350.0 1
LINE "L106-105" B106 B105 1.8000 9.6750 31.111 350.0 1
LINE "L104-105" B104 B105 1.3950 6.7500 22.222 350.0 1
LINE "L104-103" B104 B103 1.3950 6.7500 22.222 350.0 1
LINE "L311-310" B311 B310 1.1410 12.086 68.283 1350.0 1
LINE "L306-308" B306 B308 1.4440 14.440 84.488 1350.0 1
LINE "L306-309" B306 B309 1.3570 14.368 84.557 1350.0 1
LINE "L306-304" B306 B304 1.2130 10.224 59.834 1350.0 1
LINE "L306-307" B306 B307 1.2130 10.224 59.834 1350.0 1
LINE "L308-310" B308 B310 2.1660 23.104 138.50 1350.0 1
LINE "L309-310" B309 B310 2.1660 23.104 138.50 1350.0 1
LINE "L301-304#1" B301 B304 0.76500 6.7000 39.266 1350.0 1
LINE "L301-304#2" B301 B304 0.70800 7.5380 44.391 1350.0 1
LINE "L301-304#3" B301 B304 0.70800 7.5380 44.391 1350.0 1
LINE "L301-302" B301 B302 0.20200 2.0940 11.219 1350.0 1
LINE "L306-313" B306 B313 1.2560 13.992 80.125 1350.0 1
LINE "L304-303" B304 B303 1.0540 11.148 65.651 1350.0 1
LINE "L305-304#1" B305 B304 0.66400 7.0760 37.742 1350.0 1
LINE "L305-304#2" B305 B304 0.66400 7.0760 37.742 1350.0 1
 
LINE "LE1-E3" E1  E3 4.5 45.00 225.0 9999. 1
LINE "LE2-E3" E2  E3 4.5 45.00 225.0 9999. 1
LINE "L313-E2" B313 E2 3.1480 33.342 99.931 9999. 1
LINE "L311-E1" B311 E1 1.8190 19.220 93.837 9999. 1
