TYPE NAME FROM_BUS TO_BUS R X B1 B2 N PHI SNOM BR;
TRANSFO 'T302-107' B302 B107 0.31200 22.719 0. 0. 109.00 0. 550.00 1
TRANSFO 'T303-101' B303 B101 0.26000 22.620 0. 0. 108.00 0. 550.00 1
TRANSFO 'T307-105' B307 B105 0.26000 22.620 0. 0. 108.00 0. 550.00 1
TRANSFO 'T304-102' B304 B102 0.41600 24.539 0. 0. 106.00 0. 550.00 1
TRANSFO 'T305-106' B305 B106 0.15100 11.596 0. 0. 105.00 0. 550.00 1
TRANSFO 'T306-104' B306 B104 0.14600 11.440 0. 0. 102.00 0. 550.00 1
TRANSFO 'TG1-301' G1 B301 0.23000 10.700 0. 0. 103.11 0. 1000.0 1
TRANSFO 'TG2-301' G2 B301 0.11700 9.8540 0. 0. 100.82 0. 1000.0 1
TRANSFO 'TG3-101' G3 B101 0.25000 13.000 0. 0. 106.00 0. 500.00 1
TRANSFO 'TG4-103' G4 B103 0.25000 13.000 0. 0. 105.00 0. 350.00 1
TRANSFO 'TG5-105' G5 B105 0.25000 13.000 0. 0. 106.00 0. 500.00 1
TRANSFO 'TG6-310' G6 B310 0.25000 13.000 0. 0. 104.58 0. 1050.0 1
