 
       gener          stat    P       Q       V    V-Vimp    Qmin    Qmax    Pmin    Pmax

 G1                   PV     803.0   354.9 1.0000  0.0000   -250.0   620.0 -9999.9 99999.9
 G2                   PV      82.5   143.7 1.0000  0.0000   -250.0   690.0     0.0   850.0
 G3                   PV     405.0    87.1 0.9900  0.0000    -50.0   220.0     0.0   405.0
 G4                   PV     250.0   134.9 0.9900  0.0000    -50.0   140.0     0.0   270.0
 G5                            0.0     0.0 0.9371  0.0000    -50.0   210.0     0.0   405.0
 G6                   PV     800.0   213.7 1.0100  0.0000   -250.0   550.0     0.0   850.0
 E1                   PV     454.4   111.4 1.0700  0.0000   -999.0  9999.0     0.0  4000.0
 E2                   PV     562.3   217.4 1.0700  0.0000   -999.0  9999.0     0.0  4000.0
 E3                   PV       0.0   -73.7 1.0700  0.0000   -999.0  9999.0     0.0  4000.0
 
 
