 
       gener          stat    P       Q       V    V-Vimp    Qmin    Qmax    Pmin    Pmax

 G1                   PV     807.9   365.4 1.0000  0.0000   -250.0   620.0 -9999.9 99999.9
 G2                   PV      85.1   155.0 1.0000  0.0000   -250.0   690.0     0.0   850.0
 G3                            0.0     0.0 0.9343  0.0000    -50.0   220.0     0.0   405.0
 G4                   PV     250.0   134.4 0.9900  0.0000    -50.0   140.0     0.0   270.0
 G5                   PV     375.0   118.5 0.9900  0.0000    -50.0   210.0     0.0   405.0
 G6                   PV     800.0   204.1 1.0100  0.0000   -250.0   550.0     0.0   850.0
 E1                   PV     466.8   105.1 1.0700  0.0000   -999.0  9999.0     0.0  4000.0
 E2                   PV     574.7   207.3 1.0700  0.0000   -999.0  9999.0     0.0  4000.0
 E3                   PV       0.0   -73.7 1.0700  0.0000   -999.0  9999.0     0.0  4000.0
 
 
