 
       gener          stat    P       Q       V    V-Vimp    Qmin    Qmax    Pmin    Pmax

 G1                   PV     836.4   328.0 1.0000  0.0000   -250.0   620.0 -9999.9 99999.9
 G2                   PV     119.8   111.4 1.0000  0.0000   -250.0   690.0     0.0   850.0
 G3                   PV     405.0    77.7 0.9900  0.0000    -50.0   220.0     0.0   405.0
 G4                   PV     250.0   116.1 0.9900  0.0000    -50.0   140.0     0.0   270.0
 G5                   PV     375.0   110.9 0.9900  0.0000    -50.0   210.0     0.0   405.0
 G6                            0.0     0.0 0.9759  0.0000   -250.0   550.0     0.0   850.0
 E1                   PV     629.6   176.5 1.0700  0.0000   -999.0  9999.0     0.0  4000.0
 E2                   PV     737.5   202.9 1.0700  0.0000   -999.0  9999.0     0.0  4000.0
 E3                   PV       0.0   -74.1 1.0700  0.0000   -999.0  9999.0     0.0  4000.0
 
 
